,zip,rating
0,29001,0.0
1,29003,4.7
2,29006,4.5
3,29009,4.0
4,29010,2.3
5,29014,0.0
6,29015,2.0
7,29016,6.3
8,29018,0.0
9,29020,4.2
10,29030,0.0
11,29031,0.0
12,29032,3.0
13,29033,4.8
14,29036,7.9
15,29037,0.0
16,29038,5.0
17,29039,2.8
18,29040,4.5
19,29042,2.3
20,29044,3.0
21,29045,5.6
22,29047,2.0
23,29048,3.0
24,29051,4.0
25,29052,3.5
26,29053,3.8
27,29054,6.7
28,29055,3.5
29,29056,2.3
30,29058,5.0
31,29059,2.0
32,29061,2.8
33,29063,6.3
34,29065,0.0
35,29067,5.0
36,29069,3.8
37,29070,4.7
38,29072,7.5
39,29073,6.1
40,29075,6.5
41,29078,5.8
42,29080,0.0
43,29081,0.0
44,29082,0.0
45,29101,4.0
46,29102,3.7
47,29104,1.0
48,29105,2.0
49,29107,1.0
50,29108,3.4
51,29111,5.0
52,29112,3.5
53,29113,1.0
54,29114,3.0
55,29115,2.9
56,29117,2.9
57,29118,3.2
58,29123,4.0
59,29125,3.0
60,29126,5.0
61,29127,5.7
62,29128,5.0
63,29129,0.0
64,29130,5.0
65,29133,4.0
66,29135,3.0
67,29137,0.0
68,29138,0.0
69,29142,2.0
70,29145,5.0
71,29146,1.0
72,29148,0.0
73,29150,2.9
74,29152,4.0
75,29153,3.1
76,29154,3.1
77,29160,0.0
78,29161,1.0
79,29162,5.0
80,29163,2.0
81,29164,2.5
82,29166,2.0
83,29168,3.0
84,29169,3.9
85,29170,5.6
86,29172,4.6
87,29175,5.5
88,29178,5.0
89,29180,3.8
90,29201,3.9
91,29203,2.6
92,29204,3.7
93,29205,3.8
94,29206,3.8
95,29208,3.8
96,29209,4.5
97,29210,3.9
98,29212,6.0
99,29214,3.8
100,29215,3.8
101,29216,3.7
102,29217,3.7
103,29218,3.7
104,29219,4.3
105,29220,3.7
106,29222,3.7
107,29223,4.0
108,29225,3.8
109,29226,4.1
110,29227,3.5
111,29229,5.5
112,29301,4.1
113,29302,4.7
114,29303,3.6
115,29306,4.2
116,29307,5.4
117,29316,4.9
118,29318,2.0
119,29319,3.8
120,29321,3.0
121,29322,7.0
122,29323,6.2
123,29325,3.8
124,29330,6.3
125,29332,0.0
126,29334,5.8
127,29335,0.0
128,29340,5.0
129,29341,3.7
130,29349,6.3
131,29351,3.8
132,29353,6.0
133,29355,4.0
134,29356,0.0
135,29360,3.0
136,29365,5.1
137,29369,4.7
138,29370,7.0
139,29372,5.7
140,29374,5.0
141,29376,4.8
142,29379,4.0
143,29384,7.0
144,29385,5.2
145,29388,6.5
146,29390,2.0
147,29391,2.0
148,29395,6.5
149,29401,5.3
150,29403,4.2
151,29404,4.0
152,29405,3.8
153,29406,4.5
154,29407,4.1
155,29409,4.3
156,29410,4.5
157,29412,6.0
158,29414,4.8
159,29418,4.7
160,29420,4.6
161,29424,5.2
162,29425,4.6
163,29426,0.0
164,29429,0.0
165,29431,6.5
166,29432,4.5
167,29434,0.0
168,29435,4.0
169,29436,3.5
170,29437,5.0
171,29438,5.0
172,29440,3.4
173,29445,5.9
174,29446,0.0
175,29448,0.0
176,29449,2.0
177,29450,0.0
178,29451,7.2
179,29453,0.0
180,29455,4.5
181,29456,5.5
182,29458,0.0
183,29461,4.4
184,29464,7.4
185,29466,6.9
186,29468,7.0
187,29469,5.0
188,29470,2.0
189,29471,7.0
190,29472,6.0
191,29474,0.0
192,29475,2.0
193,29477,5.0
194,29479,3.3
195,29481,0.0
196,29482,7.6
197,29483,6.6
198,29485,7.1
199,29486,5.6
200,29487,1.0
201,29488,3.0
202,29492,5.0
203,29501,5.3
204,29505,4.5
205,29506,4.0
206,29510,2.7
207,29511,7.3
208,29512,2.3
209,29516,1.0
210,29518,0.0
211,29520,3.2
212,29525,4.5
213,29526,6.5
214,29527,5.5
215,29530,4.0
216,29532,4.8
217,29536,4.0
218,29540,3.3
219,29541,4.0
220,29543,5.0
221,29544,6.3
222,29545,6.5
223,29546,4.0
224,29547,3.0
225,29550,4.8
226,29554,6.0
227,29555,4.3
228,29556,3.2
229,29560,2.6
230,29563,4.0
231,29564,0.0
